"ID","Case Number","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location","Date"
11566272,"JC116340","034XX N ASHLAND AVE","0820","THEFT","$500 AND UNDER","COMMERCIAL / BUSINESS OFFICE","false","false",1922,19,44,6,"06",1165041,1922947,2019,"01/23/2019 11:26:56 AM",41.944172132,-87.668784809,"(41.944172132, -87.668784809)",01/12/2019 12:00:00 AM
11564235,"JC113722","017XX W ALBION AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true",2432,24,40,1,"08B",1163682,1943894,2019,"09/07/2021 03:41:02 PM",42.001680319,-87.673186591,"(42.001680319, -87.673186591)",01/12/2019 02:30:00 AM
11574185,"JC125698","006XX N HAMLIN AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","BANK","false","false",1122,11,27,23,"11",1150943,1903992,2019,"01/25/2019 04:05:24 PM",41.892446133,-87.721100395,"(41.892446133, -87.721100395)",01/12/2019 08:00:00 AM
11564596,"JC114157","055XX N NATOMA AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",1613,16,45,10,"08B",1131268,1936236,2019,"09/07/2021 03:41:02 PM",41.981289924,-87.792612848,"(41.981289924, -87.792612848)",01/12/2019 12:25:00 PM
11571120,"JC121760","102XX W ZEMKE RD","1206","DECEPTIVE PRACTICE","THEFT BY LESSEE,MOTOR VEH","AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA","false","false",1654,16,41,76,"11",1106955,1941060,2019,"01/23/2019 04:13:37 PM",41.994913946,-87.881937669,"(41.994913946, -87.881937669)",01/12/2019 04:00:00 PM
11564760,"JC114566","030XX W BELMONT AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","GAS STATION","false","false",1733,17,33,21,"11",1155737,1921124,2019,"01/23/2019 11:26:56 AM",41.939362537,-87.703031512,"(41.939362537, -87.703031512)",01/12/2019 04:50:00 PM
11564785,"JC114632","051XX W CHICAGO AVE","1330","CRIMINAL TRESPASS","TO LAND","PARKING LOT/GARAGE(NON.RESID.)","true","false",1531,15,37,25,"26",1141741,1904839,2019,"01/23/2019 11:26:56 AM",41.894945606,-87.754874977,"(41.894945606, -87.754874977)",01/12/2019 05:00:00 PM
11565497,"JC115396","002XX N PINE AVE","0320","ROBBERY","STRONGARM - NO WEAPON","SIDEWALK","false","false",1523,15,37,25,"03",1139462,1901064,2019,"01/23/2019 11:26:56 AM",41.884628392,-87.763337352,"(41.884628392, -87.763337352)",01/12/2019 07:00:00 PM
11564957,"JC114774","086XX S COTTAGE GROVE AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","true","false",632,6,6,44,"06",1183071,1847869,2019,"01/23/2019 11:26:56 AM",41.737750767,-87.604855911,"(41.737750767, -87.604855911)",01/12/2019 08:00:00 PM
11565883,"JC115899","044XX W FIFTH AVE","1506","PROSTITUTION","SOLICIT ON PUBLIC WAY","SIDEWALK","true","false",1131,11,24,26,"16",1146731,1895724,2019,"01/23/2019 11:26:56 AM",41.86983921,-87.736780552,"(41.86983921, -87.736780552)",01/13/2019 07:06:00 PM
11565912,"JC115906","004XX E ILLINOIS ST","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","true","false",1834,18,42,8,"06",1179279,1903707,2019,"01/23/2019 11:26:56 AM",41.891062111,-87.617043461,"(41.891062111, -87.617043461)",01/13/2019 09:45:00 PM
11566267,"JC116365","046XX S LARAMIE AVE","0820","THEFT","$500 AND UNDER","STREET","false","false",814,8,22,56,"06",1142475,1873353,2019,"01/23/2019 11:26:56 AM",41.80853006,-87.752960732,"(41.80853006, -87.752960732)",01/13/2019 10:00:00 PM
11566770,"JC117074","043XX S CALIFORNIA AVE","0620","BURGLARY","UNLAWFUL ENTRY","RESIDENCE-GARAGE","false","false",922,9,15,58,"05",1158425,1875676,2019,"01/23/2019 11:26:56 AM",41.814594202,-87.694395799,"(41.814594202, -87.694395799)",01/14/2019 05:00:00 AM
11566528,"JC116565","021XX W FULLERTON AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","CAR WASH","true","false",1432,14,32,22,"15",1161784,1915932,2019,"01/23/2019 11:26:56 AM",41.924991208,-87.680952282,"(41.924991208, -87.680952282)",01/14/2019 01:36:00 PM
11566603,"JC116852","023XX S HAMLIN AVE","1365","CRIMINAL TRESPASS","TO RESIDENCE","RESIDENCE","false","true",1013,10,22,30,"26",1151410,1888154,2019,"01/23/2019 11:26:56 AM",41.848975722,-87.719801029,"(41.848975722, -87.719801029)",01/14/2019 03:00:00 PM
11568966,"JC119340","005XX N UNION AVE","0810","THEFT","OVER $500","PARKING LOT/GARAGE(NON.RESID.)","false","false",1214,12,27,24,"06",1171435,1903937,2019,"01/23/2019 11:26:56 AM",41.891869316,-87.645843585,"(41.891869316, -87.645843585)",01/15/2019 08:30:00 PM
11568148,"JC118546","075XX S COLES AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",421,4,7,43,"08B",1195760,1855844,2019,"01/23/2019 11:26:56 AM",41.759330641,-87.558104318,"(41.759330641, -87.558104318)",01/16/2019 02:23:00 AM
11568456,"JC118919","104XX S AVENUE J","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENTIAL YARD (FRONT/BACK)","true","false",432,4,10,52,"14",1202498,1836269,2019,"01/23/2019 11:26:56 AM",41.705446215,-87.534076592,"(41.705446215, -87.534076592)",01/16/2019 11:08:00 AM
11667950,"JC239760","032XX S ARCHER AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","RESIDENCE","false","false",912,9,12,59,"11",1165042,1883212,2019,"05/01/2019 04:21:00 PM",41.835136227,-87.669910312,"(41.835136227, -87.669910312)",01/16/2019 12:00:00 PM
11568823,"JC119218","014XX W 19TH ST","0312","ROBBERY","ARMED:KNIFE/CUTTING INSTRUMENT","STREET","true","false",1233,12,25,31,"03",1166781,1890839,2019,"03/11/2019 03:58:44 PM",41.856028402,-87.663311066,"(41.856028402, -87.663311066)",01/16/2019 03:30:00 PM
11569817,"JC120483","048XX W BARRY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",2521,25,31,19,"08B",1143514,1920172,2019,"01/23/2019 11:26:56 AM",41.936987985,-87.747978785,"(41.936987985, -87.747978785)",01/16/2019 05:00:00 PM
11570637,"JC120362","067XX S LANGLEY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",321,3,20,42,"08B",1182052,1860576,2019,"09/07/2021 03:41:02 PM",41.772643726,-87.608196828,"(41.772643726, -87.608196828)",01/17/2019 01:24:00 AM
11569905,"JC120377","040XX W ARTHINGTON ST","1310","CRIMINAL DAMAGE","TO PROPERTY","SCHOOL, PUBLIC, BUILDING","false","false",1132,11,24,26,"14",1149503,1895805,2019,"01/24/2019 04:19:06 PM",41.87000817,-87.726601533,"(41.87000817, -87.726601533)",01/17/2019 01:00:00 PM
11571024,"JC121786","013XX W 77TH ST","0560","ASSAULT","SIMPLE","APARTMENT","false","true",612,6,17,71,"08A",1168636,1853702,2019,"01/24/2019 04:19:06 PM",41.754080456,-87.657574041,"(41.754080456, -87.657574041)",01/17/2019 07:00:00 PM
11570813,"JC121599","038XX N LECLAIRE AVE","502R","OTHER OFFENSE","VEHICLE TITLE/REG OFFENSE","STREET","false","false",1634,16,45,15,"26",1141671,1925195,2019,"01/25/2019 04:14:00 PM",41.950805906,-87.754627528,"(41.950805906, -87.754627528)",01/18/2019 02:18:00 AM
